disease,treatment
Alzheimer's disease,"No cure exists, but medication and management strategies may temporarily improve symptoms."

HIV,"No cure exists for AIDS, but strict adherence to antiretroviral regimens (ARVs) can dramatically slow the disease's progress as well as prevent secondary infections and complications."

Pneumocystis carinii pneumonia

accident cerebrovascular,Early treatment with medication like tPA (clot buster) can minimise brain damage. Other treatments focus on limiting complications and preventing additional strokes.

acquired immuno-deficiency syndrome,"No cure exists for AIDS, but strict adherence to antiretroviral regimens (ARVs) can dramatically slow the disease's progress as well as prevent secondary infections and complications."

adenocarcinoma

adhesion

affect labile,Antidepressants and talk therapy can help.

anemia,Treatment depends on the underlying diagnosis. Iron supplements can be used for iron deficiency. Vitamin B supplements may be used for low vitamin levels. Blood transfusions can be used for blood loss. Medication to induce blood formation may be used if the body’s blood production is reduced.

anxiety state,"Treatment includes counselling or medication, including antidepressants."

aphasia,"Once the underlying cause is treated, the main treatment for aphasia is speech therapy."

arthritis,"Medication, physiotherapy or sometimes surgery helps reduce symptoms and improve quality of life."

asthma,"Asthma can usually be managed with rescue inhalers to treat symptoms (salbutamol) and controller inhalers that prevent symptoms (steroids). Severe cases may require longer-acting inhalers that keep the airways open (formoterol, salmeterol, tiotropium), as well as inhalant steroids."

bacteremia

benign prostatic hypertrophy,"Treatments include medication that relaxes or shrinks the prostate, surgery and minimally invasive surgery."

biliary calculus,People who experience symptoms usually require gallbladder removal surgery. Gallstones that don't cause symptoms usually don't need treatment.

bipolar disorder,Treatment is usually lifelong and often involves a combination of medications and psychotherapy.

bronchitis,"Treatments usually includes soothing remedies to help with coughing, which may last weeks. Antibiotics are not usually recommended."

candidiasis

carcinoma

carcinoma breast,"Its treatment depends on the stage of cancer. It may consist of chemotherapy, radiation, hormone therapy and surgery."

carcinoma colon,"Colorectal cancer treatment depends on the size, location and how far the cancer has spread. Common treatments include surgery to remove the cancer, chemotherapy and radiation therapy."

